Dataset 0,,Dataset 1,
X,Y,X,Y
-0.3470327635814492,-0.01302154133229183,8.152305902378576,-0.02049425462601162
0.8656058810966698,-0.0177997443619351,9.367908588842116,-0.01818844640644146
2.7752740947230983,-0.015525666921508252,10.761967726738735,-0.004083885466301673
5.204503439793225,-0.01563672464851007,11.634489705334712,0.007683136475124641
6.599550591618318,0.0008291733747007868,12.514915795358466,0.03834085508111995
6.086905557673926,0.019743668123627156,13.046333093943826,0.06429176491054434
6.268326050892423,0.038626432093410434,13.235657698590106,0.10206522554489628
5.941053565880416,0.08586903914440414,13.94849549039397,0.14689889934410405
6.464566753038007,0.09292925230926008,14.833861650060083,0.1893633033654547
6.475434906251198,0.11890396022304217,15.543735400078528,0.22711296591544916
6.479386961965087,0.12834930855532667,15.73009596293939,0.25780241530058756
6.493219156963697,0.16140802771832208,16.440957726886307,0.2979134149336532
6.496183198749115,0.1684920389675354,16.806762755108725,0.3427629541224325
6.68056773375303,0.19445881418653188,19.085200038742993,0.396970582000852
6.685507803395392,0.20626549960188745,18.75990358158793,0.44893586321798806
6.696375956608584,0.23224020751566965,18.949228186234205,0.48670932385234
6.702304040179417,0.24640823001409617,19.65514988053877,0.5150136380700499
6.884712547326391,0.2676523310669504,20.723912561280326,0.5810834802273259
6.893604672682638,0.2889043648145905,21.964215595955668,0.6424227155236739
6.90447282589583,0.31487907272837257,24.066172456013792,0.6895542648476658
7.09280941661364,0.35029119627965344,24.946598546037546,0.7202119834536611
7.103677569826832,0.37626590419343564,26.87800306609036,0.7744354767216522
7.292014160544639,0.4116780277447164,28.45051865542006,0.8003387903823618
7.30189429982936,0.4352913985754274,31.761162104442416,0.8332467883444262
7.312762453042552,0.4612661064892096,32.976764790905946,0.8355525965639964
6.80604550266899,0.49434862373656274,36.283456184214415,0.8590152461937763
6.81888968373913,0.5250460058164872,37.67553929425408,0.868397132967774
7.007226274456933,0.560458129367768,39.585207507880526,0.8706712104082008
7.019082441598599,0.5887941743646213,45.48674051662206,0.8751241729516241
7.02896258088332,0.6124075451953325,47.39344468846308,0.8703142391428376
7.401683706605045,0.6737864439656096,50.85488019892128,0.8489035514994806
7.770452776612878,0.7257199944036022,49.64224155424317,0.8536817545291238
7.793177096967735,0.7800307473142378,51.03630069213979,0.8677863154692637
7.4599765283848996,0.813105331866805,52.604864225755605,0.8842442807976888
8.523799139484094,0.8673684886087254,54.517496481167456,0.8936023694873289
8.19455062661515,0.9098884214935772,55.906615549421716,0.8959002450121132
8.20739480768529,0.9405858035735015,57.12123022195678,0.8958447161486123
9.065096577354186,0.9169327692688611,57.81529574911967,0.8958129853694689
10.612911818472082,0.883802655852793,59.02991042165473,0.8957574565059679
11.64215394207476,0.8554190146872247,59.723975948817625,0.8957257257268245
12.496891669958234,0.8246819691333709,61.113095017071885,0.8980236012516088
12.829104224612603,0.7892460474977326,62.33067373139235,0.9050520836373213
14.02988670214906,0.7561317994712362,63.02473925855526,0.9050203528581778
15.748254283272257,0.7159097421111689,64.06287350751417,0.8978887454402494
17.644090301900082,0.6851251003886001,64.75595102074861,0.8954956775780349
19.02135320301267,0.659086930916531,65.44902853398301,0.8931026097158205
20.5681804302021,0.6235954804173918,66.14309406114592,0.893070878936677
21.942479289529278,0.5904732996961095,67.18419235189025,0.893023282767962
24.18436005781007,0.557311455500898,67.18419235189025,0.893023282767962
25.73810338249881,0.5383493645832563,69.44385737088355,0.9023655060680303
27.459435005407425,0.5052113184724023,69.44385737088355,0.9023655060680303
29.877796197264363,0.4791255528316183,70.13792289804644,0.9023337752888869
32.81670653449346,0.45301598910647656,71.87407472988214,0.9046157854240996
35.75462885779409,0.42454508829826376,73.26220578420794,0.9045523238658129
39.734637485767536,0.3983879284044072,74.12978769316155,0.9045126603918836
41.46486123403241,0.3865019160411931,78.29022880042503,0.8948769273847388
45.10080114020984,0.3674446327861214,78.46275716828727,0.8925076576068818
46.83003687454624,0.35319728333983635,79.33132709116937,0.8948293312160236
49.77882735106006,0.35070109044540565,81.24198331872427,0.8994647457395215
55.14696703335929,0.3244804689932622,81.41648771444346,0.9018181501278069
61.54928890890356,0.2816828917909059,82.45857401911627,0.9041318910421628
65.70874200223855,0.26968582170069,83.15263954627916,0.9041001602630194
69.34962197805834,0.26243522386097373,84.02120946916126,0.9064218338721612
74.0296242167655,0.25041435568640025,92.17055132975442,0.8918809747187997
77.15094306114158,0.24554889301411298,92.17055132975442,0.8918809747187997
84.08369422134272,0.22634088855811008,87.49153710497572,0.9062631799764442
87.55204582930025,0.22145956049625093,88.87966815930152,0.9061997184181575
89.80479475079423,0.2142724242148215,89.57274567253592,0.903806650555943
92.23402409586437,0.2141613664878197,93.91065521730403,0.9036083331862967
94.1397402537769,0.20699009559596193,97.20746647132776,0.9034576119853657
97.78259625745362,0.20446217192238803,98.94460631709194,0.9081009592036494
98.99424688820326,0.1973226318096737,,
